Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Yapı Market & Bahçe,Elektrikli El Aletleri,Elektrikli El Aletleri,12.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Elektrikli Mutfak Aletleri,Elektrikli Mutfak Aletleri,10.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Elektrikli Süpürgeler,Elektrikli Süpürgeler,10.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Elektrikli Süpürgeler- Aksesuar ve Yedek Parçalar,Elektrikli Süpürgeler- Aksesuar ve Yedek Parçalar,13.0
Elektronik / Akıllı Güvenlik Sistemleri,Elektronik Kasalar,Elektronik Kasalar,12.0
Elektronik / Beyaz Eşya,Endüstriyel Beyaz Eşyalar,Endüstriyel Beyaz Eşyalar,12.0
Yapı Market & Bahçe,Endüstriyel Ekipmanlar,Endüstriyel Ekipmanlar,12.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Endüstriyel Mutfak Aletleri,Endüstriyel Mutfak Aletleri,13.0
Hobi & Oyuncak,Erkek Çocuk Oyuncakları,Erkek Çocuk Oyuncakları,15.0
Giyim & Aksesuar,Erkek- Erkek Aksesuar,Erkek- Erkek Aksesuar,15.0
Giyim & Aksesuar,Erkek- Erkek Ayakkabı,Erkek- Erkek Ayakkabı,15.0
Giyim & Aksesuar,Erkek- Erkek Büyük Beden,Erkek- Erkek Büyük Beden,15.0
Giyim & Aksesuar,Erkek- Erkek Çanta ve Cüzdan,Erkek- Erkek Çanta ve Cüzdan,15.0
Giyim & Aksesuar,Erkek- Giyim,Erkek- Giyim,15.0
Giyim & Aksesuar,Erkek- İç Giyim,Erkek- İç Giyim,15.0
Ev Dekorasyon,Ev Tekstili,Ev Tekstili,15.0
Film & Müzik & Oyun,Film,Film,15.0
Fotoğraf & Kamera,Fotoğraf & Kamera Aksesuarları,Fotoğraf & Kamera Aksesuarları,10.0
Fotoğraf & Kamera,Fotoğraf Makineleri,Fotoğraf Makineleri,10.0
Elektronik / Beyaz Eşya,Fırınlar,Fırınlar,12.0
Elektronik / Akıllı Güvenlik Sistemleri,Geçiş Kontrol Sistemleri,Geçiş Kontrol Sistemleri,12.0
Elektronik / Telefonlar & Aksesuarları,Giyilebilir Teknoloji Ürünleri,Giyilebilir Teknoloji Ürünleri,10.0
Takı & Gözlük & Saat,Gözlük,Gözlük,15.0
Takı & Gözlük & Saat,Gümüş,Gümüş,15.0
Elektronik / Akıllı Güvenlik Sistemleri,Güvenlik Kameraları,Güvenlik Kameraları,12.0
Elektronik / Akıllı Güvenlik Sistemleri,Güvenlik Sistemi Bileşenleri,Güvenlik Sistemi Bileşenleri,12.0
Yapı Market & Bahçe,Güvenlik Ürünleri,Güvenlik Ürünleri,15.0
Kitap,Güzel Sanatlar ve Fotoğraf,Güzel Sanatlar ve Fotoğraf,12.0
Süpermarket,Gıda,Gıda,11.0
"Anne, Bebek, Oyuncak",Hamilelik ve Annelik,Hamilelik ve Annelik,15.0
Petshop,Hamster ve Tavşan,Hamster ve Tavşan,15.0
"Anne, Bebek, Oyuncak",Hatıra Ürünleri,Hatıra Ürünleri,15.0
Elektronik / Isıtma & Soğutma Sistemleri,Hava Perdeleri,Hava Perdeleri,10.0
Elektronik / Isıtma & Soğutma Sistemleri,Hava Temizleyiciler,Hava Temizleyiciler,10.0
Yapı Market & Bahçe,Havuz Ürünleri,Havuz Ürünleri,15.0
Yapı Market & Bahçe,Hayvancılık Ürünleri,Hayvancılık Ürünleri,15.0
Yapı Market & Bahçe,Hırdavat Ürünleri,Hırdavat Ürünleri,15.0
Yapı Market & Bahçe,Jeneratörler,Jeneratörler,12.0
Giyim & Aksesuar,Kadın- Giyim,Kadın- Giyim,15.0
Giyim & Aksesuar,Kadın- Kadın Aksesuar,Kadın- Kadın Aksesuar,15.0
Giyim & Aksesuar,Kadın- Kadın Büyük Beden,Kadın- Kadın Büyük Beden,15.0
Giyim & Aksesuar,Kadın- Kadın Çanta,Kadın- Kadın Çanta,15.0
Giyim & Aksesuar,Kadın- Plaj Giyim,Kadın- Plaj Giyim,15.0
Giyim & Aksesuar,Kadın- Tesettür Giyim,Kadın- Tesettür Giyim,15.0
Giyim & Aksesuar,Kadın-Kadın Ayakkabı,Kadın-Kadın Ayakkabı,15.0
Giyim & Aksesuar,Kadın-İç Giyim,Kadın-İç Giyim,15.0
"Anne, Bebek, Oyuncak",Kanguru ve Taşıma Ürünleri,Kanguru ve Taşıma Ürünleri,15.0
Petshop,Kaplumbağa,Kaplumbağa,15.0
Fotoğraf & Kamera,Karanlık Oda,Karanlık Oda,10.0
Elektronik / Akıllı Güvenlik Sistemleri,Kayıt ve Görüntüleme Sistemleri,Kayıt ve Görüntüleme Sistemleri,12.0
Süpermarket,Kağıt Ürünleri,Kağıt Ürünleri,11.0
Petshop,Kedi,Kedi,15.0
Kozmetik & Kişisel Bakım,Kişisel Bakım,Kişisel Bakım,13.0
Elektronik / Isıtma & Soğutma Sistemleri,Klima ve Aksesuarları- Klima Aksesuarı,Klima ve Aksesuarları- Klima Aksesuarı,12.0
Elektronik / Isıtma & Soğutma Sistemleri,Klima ve Aksesuarları- Klimalar,Klima ve Aksesuarları- Klimalar,10.0
Elektronik / Isıtma & Soğutma Sistemleri,Kombiler,Kombiler,10.0
Hobi & Oyuncak,Kostüm ve Parti Malzemeleri,Kostüm ve Parti Malzemeleri,15.0
Kozmetik & Kişisel Bakım,Kozmetik,Kozmetik,16.0
Süpermarket,Kuru Gıdalar,Kuru Gıdalar,11.0
Elektronik / Beyaz Eşya,Kurutma Makineleri,Kurutma Makineleri,10.0
Hobi & Oyuncak,Kutu Oyunları,Kutu Oyunları,15.0
Petshop,Kuş,Kuş,15.0
Petshop,Köpek,Köpek,15.0
Hobi & Oyuncak,Kız Çocuk Oyuncakları,Kız Çocuk Oyuncakları,15.0
Yapı Market & Bahçe,Mangal ve Barbekü,Mangal ve Barbekü,12.0
